"status","issue","assessment","evidence","recommended_action","priority"
"Đúng và đã sửa","Generic topic bị pass qua như topic thật","Intent Analyzer hoặc parser có thể biến request chung chung như 'write an guide insight for me' thành topic thật. Đã chặn ở cả backend và Telegram bot.","generate_insights.py:81 thêm GENERIC_TOPIC_FILLER_WORDS/GENERIC_TOPIC_PHRASES; generate_insights.py:176 thêm looks_like_generic_content_request(); generate_insights.py:192 thêm clean_requested_topic(); generate_insights.py:664 và 682 clean topic trong create_article/create_guide; telegram_bot.py:546 thêm looks_like_generic_content_topic(); telegram_bot.py:617 clean_content_topic(); telegram_bot.py:841 clean topic từ Intent Analyzer.","Không cần sửa thêm ngay. Về lâu dài có thể tách logic generic-topic sang module nhẹ dùng chung.","Critical"
"Đúng và đã sửa","Flow metadata/title trước, references sau, content sau cùng","Flow mới đã đúng: tạo metadata/outline trước, dùng metadata build reference query, rồi mới generate sections dựa trên evidence.","generate_insights.py:1745 generate_article_metadata_outline(); generate_insights.py:1785 generate_article_sections_data(); generate_insights.py:1829 create_article_from_prompt() chạy metadata -> evidence label -> gather_reference_evidence -> sections.","Không cần sửa thêm cho bug này. Có thể bổ sung test unit cho thứ tự flow.","Critical"
"Đúng và đã sửa","Reference search label dùng title/keyword thay vì raw request","Search label hiện được build từ title, primary keyword, secondary keywords, tags.","generate_insights.py:2008 build_reference_query_label_from_metadata(); generate_insights.py:1830-1836 dùng metadata để build evidence_label trước khi search.","Không cần sửa thêm ngay.","Critical"
"Đúng và đã sửa một phần","Search query quá hẹp nên dễ chỉ ra CDC/NIH","Đã thêm fallback query ngắn hơn nhưng vẫn còn khả năng search nhiều query không hiệu quả.","generate_insights.py:2026 build_reference_search_queries() thêm template 'health information site:domain'.","Tiếp tục thêm early-stop cho query failures và cải thiện query ordering.","High"
"Đúng và chưa sửa","Reference search vẫn có thể lãng phí nhiều query","gather_reference_evidence() vẫn loop tuần tự qua query list nếu chưa đủ evidence.","generate_insights.py:2144 loop qua build_reference_search_queries(label, mode).","Thêm consecutive_empty_searches; stop sau khoảng 6 query liên tiếp không scrape được source nào. Làm early-stop trước khi tính parallel search.","High"
"Đúng và chưa sửa","Guide có thể quá nhiều sections","Không phải duplicate bug, nhưng cap hiện tại cho phép guide quá dài: Key Takeaways + 14 regular + FAQs + Next Steps + References.","generate_insights.py:1557 return [KEY_TAKEAWAYS_HEADING] + regular_headings[:14] + ['FAQs','Next Steps','References'].","Đổi regular_headings[:14] thành khoảng [:10] hoặc [:11] để guide max khoảng 14-15 sections.","High"
"Đúng và chưa sửa","Section generation chưa có retry từng section","Nếu một section call_text_model fail thì toàn bộ article fail.","generate_insights.py:1797-1806 gọi call_text_model() trực tiếp trong loop section.","Thêm generate_section_with_retries() retry 2 lần với backoff. Nếu vẫn fail, nên fail job thay vì publish placeholder.","High"
"Đúng và chưa sửa","Image generation tuần tự","generate_article_images() tạo từng image tuần tự nên chậm với 3-5 images.","generate_insights.py:940 generate_article_images() loop qua image_prompts tuần tự.","Có thể dùng ThreadPoolExecutor(max_workers=2 hoặc 3), giữ rate limit an toàn.","Medium"
"Đúng và chưa sửa","pending_actions và telegram_memory.json chưa thread-safe","Bot có thể chạy job threads song song; dict/file JSON không có lock có thể race.","telegram_bot.py dùng pending_actions và memory file; cần rà soát quanh load_memory/save_memory/run_job.","Thêm threading.Lock cho pending_actions và memory read/write.","Medium"
"Đúng và chưa sửa","openclaw.log chưa rotate","_write_log() append mãi vào openclaw.log.","jobs.py _write_log() ghi append trực tiếp vào LOG_PATH.","Dùng RotatingFileHandler hoặc manual rotate 5MB, backupCount=3.","Medium"
"Đúng và chưa sửa","Thiếu progress feedback cho job dài","Guide/research có thể chạy lâu nhưng user chỉ thấy started/finished.","telegram_bot.py run_job() hiện gửi started và summary cuối; generate_insights.py section loop chưa có progress callback.","Thêm optional progress_fn; báo sau mỗi 3 sections hoặc mỗi phase lớn.","Medium"
"Sai vì chưa hiểu flow","Duplicate outline do normalize_outline luôn prepend/append bất kể LLM đã include","Nhận định sai với code hiện tại. Code đã remove Key Takeaways và filter FAQs/Next Steps/References trước khi append canonical.","generate_insights.py:1542 remove headings match is_key_takeaways_heading(); generate_insights.py:1553-1557 filter regular_headings rồi append canonical.","Không fix theo hướng append-if-missing. Chỉ chỉnh section cap nếu muốn guide ngắn hơn.","N/A"
"Sai vì chưa hiểu flow","Nếu metadata generation fail thì reference search dùng label rác","Sai với flow hiện tại. Reference search chỉ chạy sau khi generate_article_metadata_outline() thành công.","generate_insights.py:1830 gọi generate_article_metadata_outline(); generate_insights.py:1836 mới gọi gather_reference_evidence(). Nếu metadata fail thì vào except trước search.","Không cần sửa cho case này. Có thể thêm log rõ hơn khi metadata fail.","N/A"
"Sai vì chưa hiểu flow","Nên import generic topic logic từ generate_insights.py vào telegram_bot.py","Không nên vì generate_insights.py là module nặng, kéo OpenAI/Supabase/storage/env vào bot parser.","generate_insights.py import OpenAI, Supabase, storage và nhiều content logic ở module top-level.","Nếu muốn share logic, tạo module nhẹ như openclaw/content_intent.py rồi cả hai file cùng import.","Low"
"Sai hoặc cần cân nhắc","Parallel search là fix chính cho reference waste","Parallel có thể nhanh hơn nhưng dễ bị block/rate-limit với DuckDuckGo/Bing HTML scraping.","research_agents.py search_web dùng HTML providers; generate_insights.py gather_reference_evidence gọi search_web tuần tự.","Ưu tiên early-stop và query ordering trước. Chỉ cân nhắc parallel nhỏ max_workers=2-3 sau đó.","Medium"
